Sample,x,y
2,175.26,83.236633
2,176.64,86.349449
2,178.02,89.726143
2,179.4,92.483063
2,180.78,94.551414
2,182.16,95.447418
2,183.54,95.398735
2,184.92,95.07106
2,186.3,94.828827
2,187.68,94.637459
2,189.06,94.381187
2,190.44,94.884369
2,191.82,94.299133
2,193.2,93.948059
2,194.58,93.739944
2,195.96,88.382538
2,197.34,83.210785
2,198.72,77.96933
2,200.1,74.289307
2,201.48,68.625542
2,202.86,64.453918
2,204.24,64.217926
2,205.62,63.941254
2,207,63.504913
2,208.38,61.641068
2,209.76,58.943024
2,211.14,54.292679
2,212.52,52.296631
2,213.9,49.865082
2,215.28,49.383179
2,216.66,49.112328
2,218.04,48.856468
2,219.42,48.55542
2,220.8,48.212448
2,222.18,47.85479
2,223.56,47.541954
2,224.94,47.359985
2,226.32,36.879013
2,227.7,26.146881
2,229.08,5.708794
2,230.46,-4.249785
2,231.84,-14.395496
2,233.22,-14.005821
2,234.6,-13.699177
2,235.98,-13.459229
2,237.36,-13.233879
2,238.74,-12.973301
2,240.12,-12.631027
2,241.5,-12.146626
2,242.88,-11.470093
2,244.26,-10.54467
2,245.64,-9.439728
2,247.02,-8.32885
2,248.4,-7.335701
2,249.78,-6.391701
2,251.16,-5.363388
2,252.54,-3.96067
2,253.92,-2.025131
2,255.3,-0.018288
2,256.68,1.674118
2,258.06,3.106056
2,259.44,4.356857
2,260.82,5.500381
2,262.2,6.645599
2,263.58,7.803726
2,264.96,8.844749
2,266.34,9.711853
2,267.72,10.384872
2,269.1,10.913834
2,270.48,11.365982
2,271.86,11.794281
2,273.24,12.216599
2,274.62,12.609009
2,276,12.913116
2,277.38,13.089539
2,278.76,13.129372
2,280.14,13.025955
2,281.52,12.767372
2,282.9,12.313072
2,284.28,11.596184
2,285.66,6.766175
2,287.04,4.307014
2,288.42,-1.542394
2,289.8,-5.319417
2,291.18,-9.539581
2,292.56,-11.058493
2,293.94,-12.091215
2,295.32,-9.97476
2,296.7,-5.150515
2,298.08,1.080951
2,299.46,8.267924
2,300.84,16.859388
2,302.22,26.637264
2,303.6,35.30991
2,304.98,47.794624
2,306.36,47.875801
2,307.74,48.080788
2,309.12,48.511574
2,310.5,49.241013
2,311.88,50.0299
2,313.26,50.765556
2,314.64,51.522179
2,316.02,52.328873
2,317.4,53.089966
2,318.78,53.709396
2,320.16,54.191376
2,321.54,54.50206
2,322.92,54.658478
2,324.3,54.705963
2,325.68,54.655579
2,327.06,54.545166
2,328.44,54.392548
2,329.82,53.551922
2,331.2,52.812859
2,332.58,52.052917
2,333.96,51.423561
2,335.34,50.679829
2,336.72,49.866081
2,338.1,49.188217
2,339.48,48.541805
2,340.86,47.984554
2,342.24,47.395626
2,343.62,46.966263
2,345,46.506729
2,346.38,46.081734
2,347.76,45.416153
2,349.14,44.691849
2,350.52,43.950264
2,351.9,43.337128
2,353.28,42.829098
2,354.66,42.231796
2,356.04,41.66713
2,357.42,41.132545
2,358.8,40.685215
2,360.18,40.44313
2,361.56,40.189991
2,362.94,39.926956
2,364.32,39.581619
2,365.7,39.313835
2,367.08,39.121197
2,368.46,38.801056
2,369.84,38.520447
2,371.22,38.157578
2,372.6,38.119675
2,373.98,38.063854
2,375.36,37.793701
2,376.74,37.761253
2,378.12,37.814156
2,379.5,37.907623
2,380.88,38.015472
2,382.26,38.102982
2,383.64,38.112465
2,385.02,46.760918
2,386.4,55.401447
2,387.78,65.734535
2,389.16,77.545151
2,390.54,82.612305
2,391.92,88.581734
2,393.3,98.35878
2,394.68,98.724243
2,396.06,99.0802
2,397.44,99.391922
2,398.82,99.636551
2,400.2,99.807663
2,401.58,99.907486
2,402.96,99.939423
2,404.34,99.889435
2,405.72,99.694519
2,407.1,99.20578
2,408.48,98.146667
2,409.86,96.351837
2,411.24,94.738297
2,412.62,92.800598
2,414,90.708267
2,415.38,89.067352
2,416.76,87.910782
2,418.14,87.151871
2,419.52,86.508911
2,420.9,85.853058
2,422.28,85.14183
2,423.66,84.239624
2,425.04,82.914337
